track_id,available_markets,popularity,genre,artist_name,track_name,popularity_y,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
6FBzhcfgGacfXF3AmtfEaX,BI,0.08333333333333333,Hip-Hop,Steve Lacy,C U Girl,0.3157894736842105,0.7261595609089049,0.1625,0.03564044827878489,0.3208092485549133,0.351006711409396,B,0.13929594071079668,0.539588134711174,Minor,0.3269908386187456,0.2686789455393933,4/4,0.3907083015993907
2K7xn816oNHJZ0aVqdQsha,BJ,0.3333333333333333,Children’s Music,The Neighbourhood,Softcore,0.13157894736842105,0.0529502254473567,0.4140625,0.3178673958628924,0.4580924855491329,0.0027986577181208054,A,0.4054236146201785,0.7925061333729834,Minor,0.023960535588442567,0.21891806913898956,4/4,0.3482754868893483
0tgVpDi06FyKpA1z0VMD4v,BN,0.5833333333333334,Pop,Ed Sheeran,Perfect,0.8947368421052632,0.17847868272671472,0.45156250000000003,0.5283712119816177,0.28468208092485553,0.0,G#,0.10224018864746505,0.7328079696676826,Major,0.0,0.22772178920716868,3/4,0.1284952671091285
4xkOaSrkexMciUUogZKVTS,BO,0.3333333333333333,Hip-Hop,Eminem,'Till I Collapse,0.7894736842105263,0.08285360139610427,0.409375,0.6554879509414075,0.869942196531792,0.0,C#,0.05811015664477008,0.9639432012489778,Major,0.6828752642706131,0.8586026576643665,4/4,0.05668588836905668
4xkOaSrkexMciUUogZKVTS,BR,0.3333333333333333,Rap,Eminem,'Till I Collapse,0.7894736842105263,0.08285360139610427,0.409375,0.6554879509414075,0.869942196531792,0.0,C#,0.05811015664477008,0.9639432012489778,Major,0.6828752642706131,0.8586026576643665,4/4,0.05668588836905668
50a8bKqlwDEqeiEknrzkTO,BS,0.08333333333333333,Pop,21 Savage,ball w/o you,0.5526315789473685,0.051088110461537245,0.9093750000000003,0.27647052320074883,0.5520231213872833,0.0012684563758389262,G#,0.15782381674246254,0.6466433722399821,Major,0.2360817477096547,0.5830478743649572,4/4,0.44510934609944514
1zi7xx7UVEFkmKfv06H8x0,BT,0.5,Hip-Hop,Drake,One Dance,0.7368421052631579,0.009157662427908766,0.7593750000000001,0.1988582968796642,0.5187861271676301,0.019194630872483222,C#,0.5149065184436583,0.7666344509701881,Major,0.10007047216349543,0.3016928957950652,4/4,0.37112392557937113
1zi7xx7UVEFkmKfv06H8x0,BW,0.5,Rap,Drake,One Dance,0.7368421052631579,0.009157662427908766,0.7593750000000001,0.1988582968796642,0.5187861271676301,0.019194630872483222,C#,0.5149065184436583,0.7666344509701881,Major,0.10007047216349543,0.3016928957950652,4/4,0.37112392557937113
6TfBA04WJ3X1d1wXhaCFVT,BY,0.08333333333333333,Rock,The Offspring,"You're Gonna Go Far, Kid",0.5789473684210527,0.005532015014342667,0.36875000000000013,0.21300981392966253,0.9450867052023122,0.0,C,0.2790971871315479,0.9713775927440339,Major,0.15468639887244542,0.4848003442055967,4/4,0.5963442498095963
2Ch7LmS7r2Gy2kc64wv3Bz,BZ,0.16666666666666666,Rap,The Weeknd,Die For You,0.6052631578947368,0.1215198713957669,0.43125,0.5167736015242363,0.3959537572254336,0.0,C#,0.14940205490988714,0.669541298044755,Minor,0.13495419309372797,0.5469311092356318,4/4,0.49842236970949844
6RUKPb4LETWmmr3iAEQktW,CA,0.4166666666666667,Pop,The Chainsmokers,Something Just Like This,0.7368421052631579,0.054483731906266826,0.47968750000000004,0.4685220877909998,0.5549132947976879,9.664429530201342e-05,B,0.1999326259053394,0.6988328005352762,Minor,0.029950669485553208,0.29365867381555216,4/4,0.43096507452943095
0rKtyWc8bvkriBthvHKY8d,CD,0.16666666666666666,Children’s Music,Joji,SLOW DANCING IN THE DARK,0.7631578947368421,0.5958115119015436,0.32031250000000006,0.328901156812813,0.32947976878612717,0.040134228187919466,D#,0.2454101398012464,0.6476098431343394,Major,0.010218463706835811,0.17736517235102348,4/4,0.25470569034925467
0rKtyWc8bvkriBthvHKY8d,CG,0.16666666666666666,Pop,Joji,SLOW DANCING IN THE DARK,0.7631578947368421,0.5958115119015436,0.32031250000000006,0.328901156812813,0.32947976878612717,0.040134228187919466,D#,0.2454101398012464,0.6476098431343394,Major,0.010218463706835811,0.17736517235102348,4/4,0.25470569034925467
22VdIZQfgXJea34mQxlt81,CH,0.25,Pop,The Weeknd,Can't Feel My Face,0.6578947368421053,0.12261523315213128,0.6171875,0.3445489019675768,0.7485549132947977,0.0,A,0.10055583628094997,0.7912422868188239,Minor,0.06835799859055673,0.33436760495788437,4/4,0.5876400826895877
5E30LdtzQTGqRvNd7l6kG5,CI,0.3333333333333333,Pop,The Neighbourhood,Daddy Issues,0.5263157894736842,0.07420024352082567,0.434375,0.5164787782523613,0.39017341040462433,1.0,A#,0.1308741788782213,0.49869898148836517,Major,0.034178999295278366,0.14466564066921508,4/4,0.3123707975193124
6NFyWDv5CjfwuzoCkw47Xf,CL,0.4166666666666667,Dance,Taylor Swift,Delicate,0.6578947368421053,0.23653285581402686,0.6875000000000001,0.4135854563679984,0.2210982658959538,0.002395973154362416,A,0.07714333838639044,0.4453943944688127,Minor,0.15856236786469344,0.2276804183421867,4/4,0.0
4RvWPyQ5RL0ao9LPZeSouE,CM,0.5833333333333334,Dance,Tears For Fears,Everybody Wants To Rule The World,0.6842105263157895,0.4074092898068702,0.5125000000000001,0.48447571209033385,0.7933526011560695,0.037114093959731545,G,0.11403065521307058,0.30421529997769686,Major,0.11980267794221283,0.36842410101110395,4/4,0.5647916439995646
1Fid2jjqsHViMX6xNH70hE,CO,0.3333333333333333,Folk,Seafret,Atlantis,0.21052631578947367,0.057879353350996414,0.14062500000000006,0.40223476040081224,0.32947976878612717,1.436241610738255e-05,G#,0.11739935994610075,0.6081332242955914,Minor,0.026779422128259348,0.8160899568088169,4/4,0.17745620715917745
1Fid2jjqsHViMX6xNH70hE,CR,0.3333333333333333,Indie,Seafret,Atlantis,0.21052631578947367,0.057879353350996414,0.14062500000000006,0.40223476040081224,0.32947976878612717,1.436241610738255e-05,G#,0.11739935994610075,0.6081332242955914,Minor,0.026779422128259348,0.8160899568088169,4/4,0.17745620715917745
2nLtzopw4rPReszdYBJU6h,CV,0.4166666666666667,Rap,Linkin Park,Numb,0.7105263157894737,0.0049733805185968325,0.290625,0.24160767130153418,0.8843930635838151,0.0,A,1.0,0.8933164820459446,Major,0.0525017618040874,0.35156961061741876,4/4,0.21009683385921007
6NFyWDv5CjfwuzoCkw47Xf,CW,0.4166666666666667,Pop,Taylor Swift,Delicate,0.6578947368421053,0.23653285581402686,0.6875000000000001,0.4135854563679984,0.2210982658959538,0.002395973154362416,A,0.07714333838639044,0.4453943944688127,Minor,0.15856236786469344,0.2276804183421867,4/4,0.0
1Fid2jjqsHViMX6xNH70hE,CY,0.3333333333333333,Rock,Seafret,Atlantis,0.21052631578947367,0.057879353350996414,0.14062500000000006,0.40223476040081224,0.32947976878612717,1.436241610738255e-05,G#,0.11739935994610075,0.6081332242955914,Minor,0.026779422128259348,0.8160899568088169,4/4,0.17745620715917745
0d28khcov6AiegSCpG5TuT,CZ,0.25,Hip-Hop,Gorillaz,Feel Good Inc,0.6842105263157895,0.009091940722526903,0.7937500000000002,0.3781587549613229,0.6560693641618497,0.015637583892617452,F#,0.9562068384706081,0.7055237528808267,Major,0.5419309372797745,0.5877227821079283,4/4,0.7856598846697856
4gbVRS8gloEluzf0GzDOFc,DE,0.3333333333333333,Pop,Maroon 5,Maps,0.5789473684210527,0.022389632444790482,0.675,0.2577234484003995,0.6676300578034682,0.0,C#,0.02307562742125652,0.7915396624786261,Minor,0.02501761804087386,0.43442717900345856,4/4,0.9020781198999019
5E30LdtzQTGqRvNd7l6kG5,DJ,0.3333333333333333,Rock,The Neighbourhood,Daddy Issues,0.5263157894736842,0.07420024352082567,0.434375,0.5164787782523613,0.39017341040462433,1.0,A#,0.1308741788782213,0.49869898148836517,Major,0.034178999295278366,0.14466564066921508,4/4,0.3123707975193124
0d28khcov6AiegSCpG5TuT,DK,0.25,Children’s Music,Gorillaz,Feel Good Inc,0.6578947368421053,0.009091940722526903,0.7937500000000002,0.3781587549613229,0.6560693641618497,0.015637583892617452,F#,0.9562068384706081,0.7055237528808267,Major,0.5419309372797745,0.5877227821079283,4/4,0.7856598846697856
3ZFTkvIE7kyPt6Nu3PEa7V,DM,0.3333333333333333,Dance,Shakira,Hips Don't Lie,0.7105263157894737,0.3110174552468047,0.7312500000000002,0.3614017372461295,0.8280346820809249,0.0,A#,0.6058615462354725,0.7640324139469185,Minor,0.16913319238900634,0.26887752569130713,4/4,0.7682515504297682
3ZFTkvIE7kyPt6Nu3PEa7V,DO,0.3333333333333333,Pop,Shakira,Hips Don't Lie,0.7368421052631579,0.3110174552468047,0.7312500000000002,0.3614017372461295,0.8280346820809249,0.0,A#,0.6058615462354725,0.7640324139469185,Minor,0.16913319238900634,0.26887752569130713,4/4,0.7682515504297682
0ntQJM78wzOLVeCUAW7Y45,DZ,0.16666666666666666,Rock,Kings of Leon,Sex on Fire,0.6842105263157895,0.0018187386602674172,0.3625000000000001,0.3070584376577765,0.9450867052023122,0.0697986577181208,A,0.1527707596429173,0.7818006096201027,Major,0.10852713178294573,0.7105032352016416,4/4,0.3526275704493526
